triangle;a three-sided polygon
osculating circle;the circle that touches a curve (on the concave side) and whose radius is the radius of curvature
circle;"something approximating the shape of a circle. 'the chairs were arranged in a circle'"
bas relief;a relief in which forms extend only slightly from the background
oblong;a plane figure that deviates from a square or circle due to elongation
epicycle;a circle that rolls around (inside or outside) another circle. generates an epicycloid or hypocycloid
cladogram;a tree diagram used to illustrate phylogenetic relationships
polygonal shape;a closed plane figure bounded by straight sides
equilateral triangle;a three-sided regular polygon
glyptics;the art of engraving on precious stones
subfigure;a figure that is a part of another figure
wedge shape;any shape that is triangular in cross section
rhomb;a parallelogram with four equal sides. an oblique-angled equilateral parallelogram
anaglyph;anything carved in low relief
isosceles triangle;a triangle with two equal sides
concave polygon;a polygon such that there is a straight line that cuts it in four or more points
relief;sculpture in which the figures are raised above a surrounding flat plane
heart;a plane figure with rounded sides curving inward at the top and intersecting at the bottom. conventionally used on playing cards and valentines. 'he drew a heart and called it a valentine'
facet;a smooth surface (as of a bone or cut gemstone)
oblique triangle;a triangle that contains no right angle
strand;a pattern forming a unity within a larger structural whole. 'he tried to pick up the strands of his former life'. 'i could hear several melodic strands simultaneously'
convex polygon;a polygon such that no side extended cuts any other side or vertex. it can be cut by a line in at most two points
column;"anything tall and thin approximating the shape of a column or tower. 'the test tube held a column of white powder'. 'a tower of dust rose above the horizon'. 'a thin pillar of smoke betrayed their campsite'"
polygon;a closed plane figure bounded by straight sides
square;(geometry) a plane rectangle with four equal sides and four right angles. a four-sided regular polygon. 'you can compute the area of a square if you know the length of its sides'
pentacle;a star with 5 points. formed by 5 straight lines between the vertices of a pentagon and enclosing another pentagon
rhomboid;a parallelogram with adjacent sides of unequal lengths. an oblique-angled parallelogram with only the opposite sides equal
structure;the complex composition of knowledge as elements and their combinations. 'his lectures have no structure'
glyptography;carvings or engravings (especially on precious stones)
tetragon;a four-sided polygon
semicircle;a plane figure with the shape of half a circle
embossment;sculpture in which the figures are raised above a surrounding flat plane
intaglio;a sunken or depressed engraving or carving
cameo;engraving or carving in relief
base;the bottom side of a geometric figure from which the altitude can be constructed. 'the base of the triangle'
fractal;a geometric pattern that is repeated at every scale and so cannot be represented by classical geometry
quadrilateral;a four-sided polygon
trigon;a three-sided polygon
reentrant polygon;a polygon with one or more reentrant angles
quadrangle;a four-sided polygon
half relief;a sculptural relief between low relief and high relief
modeling;a sculpture produced by molding
hypotenuse;the side of a right triangle opposite the right angle
low relief;a relief in which forms extend only slightly from the background
undecagon;an eleven-sided polygon
